,videoId,comment
69,0Yse91dYw9w,"Ya t-il vraiment de pharaons blancs ou jaunes...
Arrêt d'écrire n'importe quoi"
70,0Yse91dYw9w,A
71,0Yse91dYw9w,Like si toi aussi si tu veux que les noirs soient reconnu à leur juste valeur
72,0Yse91dYw9w,"Réponse A, la pierre de Rosette qui se trouve dans un musée à Londres"
73,0Yse91dYw9w,tout cela était dit parle le grand professeur senegalais CHEIKH ANTA DIOP un ancien egyptologue sinon allé verifier ces oeuvres qu'il a fait sur egypte
74,0Yse91dYw9w,"Ramsès , Toutânkhamon étaient noirs. Alors quand tu parles de pharaon noirs comme si les lus fameux étaient blancs"
75,0Yse91dYw9w,réponse a
76,0Yse91dYw9w,Les pharaons blancs n’ont jamais existé pourquoi vous êtes choqués 🙄
77,0Yse91dYw9w,les pharaon ont toujour été noir .... ce sont les films qui nous mentent ...( le pharon dans assassins creed origins est noir)
78,0Yse91dYw9w,l'Égypte était noire...toute l'Égypte
79,0Yse91dYw9w,Oublié car ils étaient noirs...point barre..🤦🏾‍♂️🤦🏾‍♂️
80,0Yse91dYw9w,"L’Égypte a  toujours été noirs, pas uniquement les nubiens, elle a commencé à s’éclaircir à la suite des différentes invasions."
81,0Yse91dYw9w,Hiéroglyphes tout bonnement !
82,0Yse91dYw9w,"Il faut pas essayer d’aveugler les gens avec ton histoire de pharaon noir, y a pas eu des pharaons blanc, tout les pharaons des égyptiens était des noirs"
83,0Yse91dYw9w,Pierre de rosette
84,0Yse91dYw9w,dd
85,0Yse91dYw9w,"la secte des égyptologues se sont donné tellement de mal et dépensé  des milliards pour effacés, de l'histoire de l'humanité, l'apport fantastique des égyptiens noires, a la civilisation mondiale, en termes non seulement de constructions mais aussi d'une évolution beaucoup plus avancé que n'importe quelle autre civilisation contemporaine de l'époque et cette civilisation noire d'Égypte ne se limitait pas a l'Egypte uniquement , mais leur influence était diffusé sur tout le continent Africain de l'époque."
86,0Yse91dYw9w,on veux les source de cest information il ya trop dincomprihention avec es datte que tu donne
87,0Yse91dYw9w,Fier d'être noir
88,0Yse91dYw9w,Pierre de rosette 🏵
89,0Yse91dYw9w,Pharaon noir est la règle. Pharaon blanc était l'exception
90,0Yse91dYw9w,Ils étaient tous noirs point barre
91,0Yse91dYw9w,Je pense que c'est la pierre philosophale 🙂
92,0Yse91dYw9w,A: La Pierre de Rosette
93,0Yse91dYw9w,Pourquoi toutes ces statuettes au nez cassées?
94,0Yse91dYw9w,Comment ça Les pharaons noirs ? Ils n'étaient pas tous noirs ?
95,0Yse91dYw9w,"Mais il n'ya pas de pharaon blanc, tout les pharaons sont noir , tout les égyptiens étaient noirs ."
96,0Yse91dYw9w,"bonjour, A 3:29 vous dites : ""car si en Egypte les pharaons était entérrés  dans les pyramides "" ,Nous n'avons retrouvés aucune momie dans les pyramides. Ces batiments servaient a momifié les corps et aussi a initiés les pretres et certainnement a d'autre fonction tel que l'utilisation de l""énergie du MER-KA-BA.;"" ,"
97,0Yse91dYw9w,"Vous accordez trop d'importance aux choses qui n'en ont pas. Tout le monde est fier d'être celui qu'il est. Mais cela n'améliore la vie de personne. Encore faut il travailler,produire et vivre.  Mais le plus important c'est la vie éternelle après la mort. Moi j'ai choisi de croire en Dieu ,de recevoir sa grâce à travers son fils Jésus-Christ qui m'assure l'éternité au paradis.Salut."
98,0Yse91dYw9w,La pierre de Rosette
99,0Yse91dYw9w,Moi aussi je ss fier d être metisse
100,0Yse91dYw9w,B: La pierre philosophale.
101,0Yse91dYw9w,Africa
102,0Yse91dYw9w,c la pierre rossette
103,0Yse91dYw9w,liker si vous êtes noir
104,0Yse91dYw9w,Donc les archéologues qui fouillent ces tombes et en portent les trésors ne les volent pas mais les autres oui ?
105,0Yse91dYw9w,A
106,0Yse91dYw9w,Le premier pharaon de l'Égypte antique était noir ( le pharaon MENES).
107,0Yse91dYw9w,Tous les films sur l'Égypte montrent sur le petit écran des pharaons blancs comme si le noir n'est bon qu'a rien
108,0Yse91dYw9w,Et le professeur Cheikh Anta Diop dans tout ca😉
109,0Yse91dYw9w,L'Égypte à toujours été noir les arabes ont conquis l'Égypte et les vrais égyptiens se sont retiré au Soudan
110,0Yse91dYw9w,La pierre rosette
111,0Yse91dYw9w,Izan
112,0Yse91dYw9w,Et pourtant Cheikh Anta DIOP l'avait dit
113,0Yse91dYw9w,La pierre de rosette
114,0Yse91dYw9w,Réponse  c
115,0Yse91dYw9w,A
116,0Yse91dYw9w,La pierre de rosette
117,0Yse91dYw9w,OpticienC
118,0Yse91dYw9w,Épistémique
119,0Yse91dYw9w,Il a régné pendant presque 100 ans ?? Loll il est mort a quel age ?
120,0Yse91dYw9w,Intéressant
121,0Yse91dYw9w,Reponse B
122,0Yse91dYw9w,Tout les pharaons étaient noirs ⚫.
123,0Yse91dYw9w,Depuis quand il avait eu de  phararon blanc
124,0Yse91dYw9w,C
125,0Yse91dYw9w,Mais les premiers pharaon étaient noires Nespa ?
126,0Yse91dYw9w,A
127,0Yse91dYw9w,Les premiers égyptiens étaient noirs. C'est un fait ! Impossible de nier ce fait !
128,0Yse91dYw9w,C'EST LE RACISME QUI TUE LES DÉCOUVERTES SCIENTIFIQUES.
129,0Yse91dYw9w,"""Pharaons noirs"" est une lapalissade, les pharaons ont été noirs et métisses."
130,0Yse91dYw9w,💖
131,0Yse91dYw9w,A
132,0Yse91dYw9w,Mon africa💜💜
133,0Yse91dYw9w,"Existe-t-il des pharaons blancs ???
Car je t'entends dire les pharaons noir !"
134,0Yse91dYw9w,Trésor Africain ...!
135,0Yse91dYw9w,Afrique berceau de l'humanité
136,0Yse91dYw9w,"l'Afrique contient beaucoup de merveilleuses choses à découvrir.
proud to be black"
137,0Yse91dYw9w,La pierre de Rosette
138,0Yse91dYw9w,1
139,0Yse91dYw9w,"Sinon c'est la réponse à, la recherche du trésor de Toutankhamon. la mort touchera des ailes a celui qui dérangera le sommeil de Pharaon."
140,0Yse91dYw9w,La génétique a tranché les pharaons sont berbères
141,0Yse91dYw9w,Je suis égyptienne
142,0Yse91dYw9w,LES  SOUVERAINS QUI N'ÉTAIENT PAS NOIRS N'ÉTAIENT PAS DES  PHARAONS CAR ILS N'ÉTAIENT PAS LEGITIMES POUR ÊTRE PHARAON
143,0Yse91dYw9w,TOUS LES PHARAONS DE NARMER À NEKTANEBO ETAIENT NOIRS
144,0Yse91dYw9w,T rassiste ou sa se passe comment
145,0Yse91dYw9w,Que ce soit les pharaons noirs de Nubie où les Pharaons de l'ancienne Égypte ils s'étaient tous les deux noirs
146,0Yse91dYw9w,La pierre de Rosette
147,0Yse91dYw9w,Les noir étaient le patron à l'époque les pharaons etait noir on na blanchi l'histoire pour donner du mensonge
148,0Yse91dYw9w,J’adore Le 🦙Fâché
149,0Yse91dYw9w,Comment ça pharaon noir ? Ça n'existé même pas 😂 !
150,0Yse91dYw9w,"J,adore tes vidéos 😚❤💓"
151,0Yse91dYw9w,Suis là  je pense que c Est le petit B
152,0Yse91dYw9w,Tous les enfants sons du college bernard de vontadour fon un liek👍👍👍👍
153,0Yse91dYw9w,Dajjal et sous la pyramide
154,0Yse91dYw9w,la pierre de rosette
155,0Yse91dYw9w,A
156,0Yse91dYw9w,pierre de rosette
157,0Yse91dYw9w,B
158,0Yse91dYw9w,Épopées des Pharaons noirs moi cela me fait rire. CAR TOUS LES PHARAONS ÉTAIENT NOIRS.
159,0Yse91dYw9w,"C
C
C"
160,0Yse91dYw9w,🗿🌖
161,0Yse91dYw9w,Réponse C
162,0Yse91dYw9w,B
163,0Yse91dYw9w,"J'assume qu'aucun pharaon n'est blanche,  tout les pharaons sont noirs   ."
164,0Yse91dYw9w,Je suis noir ......😁
165,0Yse91dYw9w,Pierre de Rosette
166,0Yse91dYw9w,Je suis fière d'être noire
167,0Yse91dYw9w,Alors ils sont ou ceux qui disaient le contraire ???😂😂😂😂😂😂
168,0Yse91dYw9w,Rien de surprenant la vie est remplie de mystère
169,0Yse91dYw9w,"Vous me faites rire vous autres )) toutes les premières dynasties des pharaons étaient noires , et non pas la 25ème  seulement."
170,0Yse91dYw9w,Option 3
171,0Yse91dYw9w,Ils disent toujours des sottises....”pharaons noirs” y a t’il des pharaons qui n’étaient pas noirs??? L’Afrique c’est un continent des noirs et les pharaons y ont vécu 🤷🏾‍♂️...va racontez koi?
172,0Yse91dYw9w,C'est très intéressant !!! Je pense qu'on nous cache dues choses au sujet de ces découvertes. J'aimerai en savoir plus....
173,0Yse91dYw9w,"Qui avait dit k le peuple noire n'avait pas d'histoire ? C ignorants de racistes qui se croient tout permis et tt savoir , Chassaient k l'Égypte est noire"
174,0Yse91dYw9w,qui est la avant les 1milons
175,0Yse91dYw9w,Pierre de Rosette
176,0Yse91dYw9w,c
177,0Yse91dYw9w,"Cest tres interessant mais il est loin d'être le premier pharaon noir , comme si les ancien pharaon venant avant lui etaient des phararon blanc ou Arabe ... Depuis la premiere dynastie les phararon de kemit ( actuel egypte) etaient noir, et il serait honnête de le reconnaitre meme si au fil du temps il ya eu des roi d'autre race qui ont regné sur kemit durant les dynasties..."
178,0Yse91dYw9w,Si c’est p sur cette terre ça cera de l’autre coter rendez nous notre histoire black power
179,0Yse91dYw9w,A
180,0Yse91dYw9w,Lignée des pharaons noirs est un non sens tout les pharaons etaient noirs quelque soit la dynastie!!!
181,0Yse91dYw9w,🇪🇬🧡
182,0Yse91dYw9w,"ok mais rendez nous nos richesses... tout le temps c'est comme ça... 
les grec sont venus voler subtilement nos savoirs... Pythagore thales... sur le plan spirituel scientifique on a fait que nous piller sans nous rendre hommage... c'est trop"
183,0Yse91dYw9w,Notre monde est rempli de mystère
184,0Yse91dYw9w,Tous les pharaons étaient noirs.
185,0Yse91dYw9w,Ils peuvent chercher quelque chose pour aspirer l’eau
186,0Yse91dYw9w,Trop bien tes trop actifs
187,0Yse91dYw9w,👍❤
188,0Yse91dYw9w,Waoooow de l'histoire et l'histoire je d'adorer ce pays pour son histoire
189,0Yse91dYw9w,Réponse B
190,0Yse91dYw9w,Haiti!
191,0Yse91dYw9w,"Wsh vous CLC avec vos ""premier commentaire , deuxième commentaire ""la"
192,0Yse91dYw9w,Si tu regarde se commentaire je te souhaite un bonne vie a toi 💯
193,0Yse91dYw9w,C'est bien
194,0Yse91dYw9w,"Il me manque très peu d'abos pour les 4,700 n'hésite pas a réaliser mon rêve je compte sur toi bg ✅👌"
195,0Yse91dYw9w,"Il me manque très peu d'abos pour les 4,700 n'hésite pas a réaliser mon rêve je compte sur toi bg ✅👌"
196,0Yse91dYw9w,"Il me manque très peu d'abos pour les 4,700 n'hésite pas a réaliser mon rêve je compte sur toi bg ✅👌"
197,0Yse91dYw9w,"Il me manque très peu d'abos pour les 4,700 n'hésite pas a réaliser mon rêve je compte sur toi bg ✅👌"
198,0Yse91dYw9w,La pierre de rosette
199,0Yse91dYw9w,M
200,0Yse91dYw9w,Yo
201,0Yse91dYw9w,❤️
202,0Yse91dYw9w,"Quatrième commentaire.
J' ai choisi la réponse c ( la pierre hiéroglyphes). Et j' ai tout faut."
203,0Yse91dYw9w,9eme 😭🔥
204,0Yse91dYw9w,J'aime ls histoire
205,0Yse91dYw9w,Cool
206,0Yse91dYw9w,8eme commentaire
207,0Yse91dYw9w,Incroyable
208,0Yse91dYw9w,6
209,0Yse91dYw9w,3
210,0Yse91dYw9w,5
211,0Yse91dYw9w,Heyyy
212,0Yse91dYw9w,5ème
213,0Yse91dYw9w,Troisième commentaire
214,0Yse91dYw9w,2e commentaire
215,0Yse91dYw9w,🦙...
216,0Yse91dYw9w,2
217,0Yse91dYw9w,Deuxième commentaire
218,0Yse91dYw9w,1𝚎𝚛 𝚌𝚘𝚖𝚖𝚊𝚗𝚝𝚊𝚒𝚛𝚎
